"file_name","format","title","description"
"Additional_file_1_Supplementary_Information.pdf","PDF","Supplementary methods, figures, and summary tables","Supplementary methods, supplemental figure legends, concise summary tables, and Genome Biology-oriented reproducibility notes."
"Additional_file_2_dataset_manifest_and_analysis_summary.csv","CSV","Dataset manifest and analysis summary","One row per analyzed dataset, including sample labels, Space Ranger version/source URL, number of spots and genes, ExperimentHub metadata when available, percentage of genes favoring nonstationary covariance, and stationary/non-spatial summaries."
"Additional_file_3_per_gene_bayes_factor_and_category_summary.csv","CSV","Per-gene Bayes factor and category summary","One row per analyzed gene and dataset, including log Bayes factors, Bayes factor evidence strengths, model favored by the nonstationary-versus-stationary comparison, stationary-versus-non-spatial comparison when available, and the final three-model category."
"Additional_file_4_bayes_factor_evidence_summary.csv","CSV","Evidence-strength counts for nonstationary versus stationary models","Counts and percentages of genes by dataset, favored model, and Bayes factor evidence strength for the nonstationary versus stationary comparison."
"Additional_file_5_stationary_vs_nonspatial_summary.csv","CSV","Stationary spatial versus stationary non-spatial summary","Counts and percentages of stationary-favored genes that favor either the stationary spatial model or the stationary non-spatial model."
"Additional_file_6_clusterprofiler_gsea_results.csv","CSV","clusterProfiler GSEA results","Full GO biological process and KEGG GSEA output from clusterProfiler, with genes ranked by log Bayes factor."
"Additional_file_7_msigdb_fgsea_results.csv","CSV","MSigDB fgsea stationarity enrichment results","Full Hallmark, KEGG, Reactome, and GO biological process fgsea output from MSigDB gene sets, with genes ranked by log Bayes factor."
"Additional_file_8_simulation_fdr_power_curves.csv","CSV","Simulation FDR and power curves","Aggregated threshold-specific false discovery rate and average power for the two simulation settings."
"Additional_file_9_simulation_replicate_summaries.csv","CSV","Simulation replicate summaries","Per-replicate FDR and power at the Bayes factor threshold c = 1 for the two simulation settings."
"Additional_file_10_software_reproducibility_manifest.csv","CSV","Software and reproducibility manifest","List of analysis scripts, their role in the workflow, file sizes, and MD5 checksums."
